YEAR,STATE_NAME,COUNTY_NAME,STATE_ID,COUNTY_ID,PER_CAPITA_EXP_ESRD,AVG_RISK_SCORE_ESRD,AVG_DEMOG_SCORE_ESRD,PERSON_YEARS_ESRD,PER_CAPITA_EXP_DIS,AVG_RISK_SCORE_DIS,AVG_DEMOG_SCORE_DIS,PERSON_YEARS_DIS,PER_CAPITA_EXP_AGDU,AVG_RISK_SCORE_AGDU,AVG_DEMOG_SCORE_AGDU,PERSON_YEARS_AGDU,PER_CAPITA_EXP_AGND,AVG_RISK_SCORE_AGND,AVG_DEMOG_SCORE_AGND,PERSON_YEARS_AGND
2024,ALABAMA,WASHINGTON,01,640,*,*,*,*,9148.3,0.82267,0.94696,175,13630.11,0.92099,1.04592,93.25,14924.88,1.05381,1.10075,1025.58
2024,ALABAMA,WILCOX,01,650,89236.85,0.99231,1.03447,9.25,7748.37,0.70954,0.98437,104.75,17015.96,0.79758,1.0286,73.83,11373.55,0.9963,1.10439,442.33
2024,ALABAMA,WINSTON,01,660,*,*,*,*,14055.54,0.97641,0.98581,229.33,26286.09,1.02923,1.09058,169.5,12971.37,1.07148,1.08008,1522.5
2024,ALASKA,"ALEUTIANS EAST",02,013,.,.,.,.,*,*,*,*,20305.03,0.73615,0.86027,11.58,13942.52,0.94606,1.05531,47.08
2024,ALASKA,"ALEUTIANS WEST",02,016,.,.,.,.,*,*,*,*,31629.5,0.76137,0.92853,19.75,8451.76,0.84565,0.96029,58.58
2024,ALASKA,ANCHORAGE,02,020,96472.82,1.01977,1.02094,214,18044.11,1.05164,1.05307,2564.33,17766.12,0.86088,0.95766,3517.58,12011.9,0.83875,0.9498,19671.5
2024,ALASKA,BETHEL,02,050,*,*,*,*,23368.74,1.07381,1.12284,45.67,22743.38,0.72988,0.91365,203.58,20599.35,0.92051,1.00517,220.67
2024,ALASKA,"BRISTOL BAY",02,060,.,.,.,.,*,*,*,*,15557.59,0.58038,0.89503,13.83,10556.15,0.7551,1.05957,77.92
2024,ALASKA,DENALI,02,068,.,.,.,.,*,*,*,*,*,*,*,*,8542.56,0.72848,0.91783,167.58
2024,ALASKA,DILLINGHAM,02,070,*,*,*,*,37257.81,0.86087,1.15525,24.5,34117.17,0.65246,0.906,100.25,25398.17,0.71143,0.96474,190.5
